Age,Gender,EmploymentStatus,AnnualIncomeUSD,Country,BankAccountsCount,CardsCount,MonthlyTransactionRange,VictimOfFraud,FraudConcernLevel,TechComfortLevel,SecurityMeasures,ValuedFeatures,MonthlyWillingnessToPayUSD,SubscribeLikelihood,Challenges,Motivations,SatisfactionLevel,ResearchFrequency,AlertPreference,RecommendationLikelihood,TryWillingness,AdoptionBarrier,ProactiveVsReactiveScale,IntegrateWithAccounts
38,Male,Self-employed,60185.71,Singapore,2,3,11-20,No,6,6,"Transaction alerts, Two-factor authentication, None","Detailed reporting, AI-based detection",463.76,Likely,Complexity of security,"Trust & reputation, Innovative features, Cost savings",4,Weekly,SMS,10,Unlikely to try,Complexity,8,Yes
30,Female,Employed full-time,29099.48,UAE,3,3,21-50,No,6,5,"Credit monitoring, None","Personalized recommendations, Insurance against fraud",209.08,Likely,"Complexity of security, Too many passwords","Peer recommendations, Cost savings",3,Weekly,Mobile App Notification,9,Unlikely to try,Trust issues,9,No
30,Female,Employed full-time,6347.44,USA,3,2,21-50,No,7,10,"Two-factor authentication, Biometric login","Insurance against fraud, Real-time alerts",76.66,Very likely,"Too many passwords, Lack of transparency, Fear of hacking","Innovative features, Cost savings, Convenience",5,Monthly,SMS,9,Skeptical but open,Complexity,2,Yes
30,Female,Unemployed,29001.61,Singapore,2,5,6-10,No,6,5,"None, Credit monitoring, Biometric login","Real-time alerts, Personalized recommendations, Detailed reporting",306.23,Unlikely,"Lack of transparency, Poor customer support, Fear of hacking",Cost savings,2,Rarely,Email,9,Eager to try,Cost,4,No
38,Non-binary,Employed full-time,19474.74,India,3,5,50+,No,7,9,None,"Detailed reporting, Real-time alerts, Insurance against fraud",261.34,Very likely,"Lack of transparency, Complexity of security","Convenience, Innovative features, Trust & reputation",4,Quarterly,Email,9,Wait for reviews,Trust issues,3,Maybe
30,Male,Employed part-time,13646.45,India,7,3,21-50,No,8,9,None,"AI-based detection, Insurance against fraud",262.1,Unlikely,"Fear of hacking, Too many passwords, Poor customer support","Trust & reputation, Cost savings",2,Monthly,Email,10,Wait for reviews,Lack of awareness,5,Yes
37,Female,Employed full-time,17284.13,UAE,1,4,21-50,No,5,8,"Biometric login, Two-factor authentication, Credit monitoring","Detailed reporting, Real-time alerts",283.69,Likely,"Poor customer support, Complexity of security, Fear of hacking","Convenience, Trust & reputation, Peer recommendations",3,Weekly,Email,8,Eager to try,Complexity,5,No
55,Female,Employed full-time,38779.42,USA,5,7,11-20,Yes,5,5,"Transaction alerts, Credit monitoring, None","Personalized recommendations, AI-based detection",593.55,Neutral,Complexity of security,"Peer recommendations, Convenience, Innovative features",3,Rarely,SMS,10,Wait for reviews,Trust issues,8,Yes
43,Female,Employed full-time,80594.4,UK,3,3,11-20,Not sure,9,8,Two-factor authentication,"Personalized recommendations, Detailed reporting",905.8,Likely,"Complexity of security, Too many passwords, Poor customer support","Cost savings, Trust & reputation, Convenience",5,Monthly,Email,9,Wait for reviews,Cost,8,Maybe
31,Female,Employed full-time,43822.85,Australia,2,3,50+,Yes,7,7,"Biometric login, Two-factor authentication","Detailed reporting, Real-time alerts, Personalized recommendations",408.01,Neutral,Poor customer support,"Cost savings, Trust & reputation",3,Rarely,SMS,7,Eager to try,Cost,6,No
47,Female,Unemployed,25237.8,USA,3,5,11-20,No,9,10,"Two-factor authentication, None, Transaction alerts",Personalized recommendations,330.72,Neutral,Fear of hacking,"Innovative features, Convenience",4,Quarterly,Email,6,Unlikely to try,Complexity,9,Yes
30,Female,Employed full-time,47740.84,India,5,6,21-50,No,8,10,Credit monitoring,Detailed reporting,872.78,Very likely,"Poor customer support, Complexity of security, Fear of hacking","Convenience, Trust & reputation, Innovative features",1,Weekly,Mobile App Notification,10,Wait for reviews,Cost,5,Maybe
18,Male,Retired,27571.72,Australia,2,3,50+,No,7,6,"Biometric login, Credit monitoring","AI-based detection, Real-time alerts",500.46,Likely,"Too many passwords, Poor customer support","Cost savings, Trust & reputation",4,Rarely,Email,10,Wait for reviews,Lack of awareness,7,Maybe
24,Female,Employed part-time,23938.42,Singapore,3,3,21-50,No,7,5,"Transaction alerts, Biometric login, Credit monitoring","Detailed reporting, Personalized recommendations",279.67,Very likely,Too many passwords,"Trust & reputation, Peer recommendations",7,Quarterly,Email,7,Wait for reviews,Lack of awareness,9,Yes
18,Prefer not to say,Employed full-time,18167.37,India,3,5,11-20,No,7,8,"Two-factor authentication, Credit monitoring, Transaction alerts","Detailed reporting, Personalized recommendations",157.93,Very likely,Too many passwords,Peer recommendations,3,Monthly,SMS,9,Skeptical but open,Trust issues,6,Maybe
31,Non-binary,Employed part-time,12694.23,USA,6,4,0-5,No,6,9,Credit monitoring,Personalized recommendations,106.38,Very likely,"Lack of transparency, Too many passwords, Complexity of security",Peer recommendations,4,Quarterly,Email,10,Wait for reviews,Lack of awareness,7,Yes
35,Male,Employed part-time,28740.02,UK,2,5,0-5,No,8,5,"Biometric login, Credit monitoring","Real-time alerts, Personalized recommendations, Insurance against fraud",158.35,Likely,Lack of transparency,"Innovative features, Trust & reputation, Convenience",3,Quarterly,SMS,10,Wait for reviews,Cost,9,Maybe
51,Male,Student,39927.96,Germany,1,4,6-10,Yes,4,6,"Transaction alerts, Credit monitoring","Insurance against fraud, Personalized recommendations",704.33,Neutral,Too many passwords,Innovative features,2,Quarterly,SMS,7,Eager to try,Lack of awareness,6,Yes
38,Male,Employed full-time,34270.01,India,3,3,6-10,Yes,9,8,"Credit monitoring, Transaction alerts, None","Insurance against fraud, Real-time alerts",307.49,Likely,"Too many passwords, Fear of hacking, Poor customer support",Peer recommendations,2,Quarterly,SMS,8,Skeptical but open,Complexity,5,Yes
32,Female,Employed full-time,28294.42,India,2,6,6-10,Yes,9,5,Biometric login,"AI-based detection, Real-time alerts",293.84,Likely,"Fear of hacking, Lack of transparency, Complexity of security","Convenience, Innovative features, Trust & reputation",4,Quarterly,Mobile App Notification,10,Wait for reviews,Complexity,2,No
43,Female,Unemployed,20589.83,USA,1,1,11-20,No,8,7,"None, Biometric login","Insurance against fraud, Detailed reporting, Personalized recommendations",352.87,Very likely,"Complexity of security, Poor customer support","Peer recommendations, Innovative features, Cost savings",4,Quarterly,Phone Call,10,Skeptical but open,Complexity,4,Maybe
18,Male,Unemployed,52310.26,USA,2,5,11-20,No,8,8,"None, Biometric login, Transaction alerts",Insurance against fraud,355.73,Neutral,Poor customer support,Peer recommendations,2,Rarely,Mobile App Notification,9,Wait for reviews,Complexity,6,Yes
37,Female,Unemployed,16477.0,Australia,2,4,11-20,No,6,8,Transaction alerts,"Insurance against fraud, Personalized recommendations",196.38,Likely,"Fear of hacking, Poor customer support","Peer recommendations, Innovative features, Cost savings",6,Quarterly,Phone Call,9,Skeptical but open,Trust issues,4,No
42,Female,Employed full-time,57850.46,UK,3,2,0-5,No,8,4,"Two-factor authentication, Biometric login","Personalized recommendations, Real-time alerts, AI-based detection",395.41,Neutral,Too many passwords,Trust & reputation,4,Monthly,Mobile App Notification,10,Skeptical but open,Complexity,9,Maybe
20,Female,Student,19903.88,Singapore,3,5,0-5,No,8,4,"Two-factor authentication, None, Credit monitoring","Personalized recommendations, Real-time alerts, Detailed reporting",231.44,Unlikely,"Lack of transparency, Fear of hacking",Innovative features,3,Quarterly,SMS,9,Wait for reviews,Complexity,4,Yes
46,Female,Employed full-time,23121.98,USA,3,5,21-50,No,8,4,"None, Biometric login, Transaction alerts",Personalized recommendations,131.96,Neutral,Complexity of security,Innovative features,5,Monthly,Email,7,Eager to try,Cost,4,No
38,Female,Employed full-time,15061.98,Singapore,1,4,11-20,No,8,8,Biometric login,"Detailed reporting, AI-based detection, Insurance against fraud",192.26,Likely,Fear of hacking,"Convenience, Trust & reputation",2,Weekly,Mobile App Notification,8,Skeptical but open,Trust issues,8,No
30,Female,Employed full-time,26880.56,Australia,4,1,11-20,No,8,10,"Transaction alerts, Biometric login, Two-factor authentication","AI-based detection, Insurance against fraud",455.24,Neutral,Too many passwords,"Trust & reputation, Convenience",4,Monthly,Email,9,Skeptical but open,Complexity,7,No
41,Male,Employed part-time,65198.22,India,2,4,21-50,No,9,6,"Transaction alerts, Credit monitoring","AI-based detection, Real-time alerts, Insurance against fraud",987.39,Likely,"Lack of transparency, Fear of hacking, Poor customer support",Trust & reputation,4,Monthly,Email,10,Eager to try,Cost,8,Maybe
57,Female,Employed full-time,49482.62,USA,2,6,21-50,Yes,9,8,"Credit monitoring, None, Two-factor authentication","Insurance against fraud, Real-time alerts",625.34,Very unlikely,"Poor customer support, Too many passwords","Trust & reputation, Convenience, Peer recommendations",4,Monthly,Email,10,Eager to try,Cost,3,Yes
36,Female,Employed full-time,65319.98,India,4,2,11-20,Yes,9,10,"None, Credit monitoring, Transaction alerts","AI-based detection, Detailed reporting",1138.62,Unlikely,"Complexity of security, Poor customer support, Lack of transparency","Convenience, Innovative features",4,Monthly,Email,10,Eager to try,Cost,8,No
37,Female,Unemployed,49676.41,UAE,2,6,21-50,Yes,5,9,"Biometric login, Two-factor authentication","AI-based detection, Insurance against fraud",418.12,Likely,"Poor customer support, Complexity of security","Convenience, Cost savings, Trust & reputation",4,Quarterly,SMS,7,Eager to try,Trust issues,7,No
30,Female,Employed full-time,18728.43,UK,1,3,50+,No,8,9,"Two-factor authentication, Credit monitoring, None","Real-time alerts, Detailed reporting",327.03,Very unlikely,Lack of transparency,"Peer recommendations, Cost savings, Trust & reputation",3,Monthly,Email,8,Skeptical but open,Complexity,7,Yes
26,Female,Employed full-time,29778.04,Germany,2,3,21-50,Yes,7,9,"Two-factor authentication, Biometric login","Detailed reporting, Real-time alerts, Insurance against fraud",272.33,Neutral,"Fear of hacking, Too many passwords","Trust & reputation, Innovative features",3,Monthly,SMS,9,Skeptical but open,Lack of awareness,7,Yes
43,Male,Employed full-time,22739.99,Singapore,3,3,11-20,Yes,6,6,"Transaction alerts, None, Biometric login",Real-time alerts,237.34,Likely,"Too many passwords, Poor customer support","Convenience, Cost savings, Innovative features",4,Rarely,SMS,7,Eager to try,Complexity,7,Maybe
26,Female,Unemployed,80687.98,Germany,3,4,21-50,No,9,8,None,AI-based detection,558.88,Very likely,"Fear of hacking, Lack of transparency, Too many passwords","Trust & reputation, Convenience",2,Rarely,Phone Call,8,Unlikely to try,Complexity,9,Yes
35,Male,Employed part-time,17710.75,Singapore,2,6,6-10,Yes,9,3,"Two-factor authentication, Credit monitoring, None","Insurance against fraud, Personalized recommendations, AI-based detection",115.59,Neutral,"Fear of hacking, Too many passwords","Trust & reputation, Cost savings",7,Monthly,Email,9,Eager to try,Lack of awareness,6,Yes
30,Male,Employed full-time,62082.45,USA,2,6,11-20,Yes,7,7,"Transaction alerts, Biometric login","Insurance against fraud, Real-time alerts",1178.43,Unlikely,"Lack of transparency, Too many passwords","Peer recommendations, Cost savings, Innovative features",1,Rarely,Mobile App Notification,9,Wait for reviews,Lack of awareness,5,Maybe
39,Female,Student,62054.75,UK,5,3,50+,No,8,7,"Two-factor authentication, Biometric login, None",Personalized recommendations,487.11,Unlikely,Too many passwords,"Peer recommendations, Convenience, Innovative features",6,Quarterly,Mobile App Notification,5,Wait for reviews,Cost,7,Yes
38,Prefer not to say,Student,108855.01,USA,4,4,11-20,Yes,10,10,"None, Transaction alerts",Personalized recommendations,1088.49,Neutral,Fear of hacking,Trust & reputation,3,Monthly,Email,7,Eager to try,Lack of awareness,6,Maybe
45,Male,Employed full-time,28401.24,Australia,1,1,50+,No,7,8,"Credit monitoring, Two-factor authentication, None","AI-based detection, Insurance against fraud",367.43,Likely,Lack of transparency,Peer recommendations,3,Quarterly,Mobile App Notification,10,Wait for reviews,Trust issues,7,Yes
29,Male,Self-employed,55680.95,UAE,2,5,11-20,No,9,8,"Transaction alerts, Two-factor authentication, Biometric login","Insurance against fraud, AI-based detection",568.95,Neutral,"Poor customer support, Complexity of security",Trust & reputation,3,Rarely,SMS,5,Eager to try,Complexity,6,No
32,Female,Student,142770.13,Singapore,4,3,50+,No,6,3,Two-factor authentication,"Personalized recommendations, Detailed reporting, Insurance against fraud",2577.29,Unlikely,Lack of transparency,"Convenience, Trust & reputation, Cost savings",4,Quarterly,Mobile App Notification,8,Skeptical but open,Complexity,4,Yes
25,Male,Self-employed,25069.69,UK,4,9,11-20,No,7,8,"Two-factor authentication, Biometric login, None","Real-time alerts, AI-based detection",464.06,Likely,"Poor customer support, Too many passwords",Trust & reputation,3,Monthly,Email,6,Eager to try,Complexity,4,Yes
30,Female,Employed full-time,14457.6,USA,2,6,0-5,No,6,10,Two-factor authentication,"Personalized recommendations, Detailed reporting, AI-based detection",142.98,Likely,"Lack of transparency, Too many passwords, Complexity of security","Trust & reputation, Convenience, Innovative features",3,Weekly,Phone Call,7,Eager to try,Trust issues,7,No
38,Female,Unemployed,11754.53,UAE,3,5,11-20,No,10,8,"Two-factor authentication, None, Biometric login","Personalized recommendations, Insurance against fraud",75.0,Neutral,"Lack of transparency, Complexity of security","Peer recommendations, Trust & reputation",4,Monthly,Mobile App Notification,8,Skeptical but open,Cost,5,Maybe
42,Female,Employed part-time,55693.97,India,4,4,6-10,No,4,4,"None, Transaction alerts",Personalized recommendations,454.04,Unlikely,Lack of transparency,"Cost savings, Innovative features, Trust & reputation",7,Monthly,Email,10,Skeptical but open,Cost,8,Maybe
25,Male,Employed full-time,11732.4,USA,2,4,0-5,No,6,9,"Two-factor authentication, None, Credit monitoring",Real-time alerts,142.15,Unlikely,"Fear of hacking, Poor customer support","Innovative features, Convenience, Peer recommendations",2,Monthly,Mobile App Notification,10,Wait for reviews,Complexity,6,Maybe
43,Male,Employed full-time,29045.2,Singapore,1,2,21-50,No,5,9,"Two-factor authentication, Biometric login",Personalized recommendations,270.91,Very likely,"Poor customer support, Fear of hacking",Innovative features,3,Monthly,Email,9,Wait for reviews,Cost,9,No
48,Female,Employed full-time,47211.27,USA,3,2,6-10,Not sure,4,8,Two-factor authentication,Personalized recommendations,557.19,Very likely,Lack of transparency,Convenience,5,Quarterly,SMS,4,Eager to try,Complexity,5,Yes
39,Female,Employed full-time,40583.03,UK,4,4,21-50,No,7,5,"None, Credit monitoring, Transaction alerts","Real-time alerts, Insurance against fraud",664.77,Unlikely,"Lack of transparency, Too many passwords, Fear of hacking","Peer recommendations, Innovative features, Trust & reputation",4,Monthly,Mobile App Notification,6,Eager to try,Lack of awareness,4,No
53,Male,Student,46876.27,India,3,5,6-10,Not sure,8,9,"Biometric login, Credit monitoring, None","Personalized recommendations, AI-based detection, Insurance against fraud",530.15,Unlikely,"Complexity of security, Fear of hacking, Too many passwords","Trust & reputation, Peer recommendations",5,Monthly,Phone Call,9,Wait for reviews,Trust issues,8,No
27,Female,Employed full-time,41496.9,USA,4,3,6-10,No,7,9,"None, Credit monitoring","Insurance against fraud, Personalized recommendations, Detailed reporting",330.11,Likely,"Fear of hacking, Too many passwords","Peer recommendations, Cost savings",6,Monthly,SMS,9,Wait for reviews,Lack of awareness,7,Yes
22,Male,Employed full-time,78223.04,Australia,1,3,50+,No,7,4,Credit monitoring,Personalized recommendations,811.13,Neutral,Poor customer support,"Innovative features, Cost savings",7,Monthly,Phone Call,7,Wait for reviews,Trust issues,7,Maybe
18,Female,Employed part-time,20508.82,USA,3,5,11-20,No,9,9,"Credit monitoring, Transaction alerts, None",AI-based detection,331.11,Very unlikely,"Complexity of security, Lack of transparency","Innovative features, Trust & reputation, Cost savings",5,Rarely,Email,4,Skeptical but open,Cost,7,No
49,Male,Employed full-time,24192.62,USA,5,3,21-50,No,9,3,"Credit monitoring, Biometric login","Detailed reporting, AI-based detection",274.85,Very unlikely,"Fear of hacking, Lack of transparency","Convenience, Innovative features, Cost savings",7,Quarterly,SMS,8,Eager to try,Lack of awareness,6,Yes
41,Prefer not to say,Retired,22843.1,USA,5,4,21-50,Not sure,9,8,"Biometric login, None, Two-factor authentication",Personalized recommendations,199.72,Unlikely,Poor customer support,Convenience,5,Monthly,Email,8,Skeptical but open,Cost,5,Yes
34,Male,Employed full-time,59761.39,UAE,3,3,11-20,No,8,10,"Credit monitoring, None, Transaction alerts",Detailed reporting,681.95,Likely,"Too many passwords, Lack of transparency","Cost savings, Convenience",2,Weekly,Mobile App Notification,8,Wait for reviews,Lack of awareness,4,Yes
37,Male,Employed full-time,62332.56,UK,3,2,50+,No,7,6,Biometric login,"AI-based detection, Detailed reporting",736.9,Unlikely,"Poor customer support, Fear of hacking, Too many passwords","Trust & reputation, Peer recommendations, Convenience",2,Monthly,Email,6,Eager to try,Trust issues,5,Maybe
23,Male,Employed full-time,47607.0,India,2,5,21-50,No,5,6,"Transaction alerts, Two-factor authentication",Insurance against fraud,449.68,Very likely,"Lack of transparency, Complexity of security, Fear of hacking","Innovative features, Peer recommendations",2,Quarterly,Mobile App Notification,7,Skeptical but open,Lack of awareness,6,Maybe
59,Male,Employed full-time,73872.52,USA,2,4,11-20,No,10,7,"Transaction alerts, Biometric login","AI-based detection, Detailed reporting",1472.67,Unlikely,"Too many passwords, Fear of hacking, Poor customer support","Peer recommendations, Trust & reputation, Cost savings",3,Monthly,Mobile App Notification,8,Eager to try,Cost,4,No
36,Female,Employed full-time,17911.09,USA,1,3,21-50,Yes,8,5,Biometric login,Real-time alerts,295.79,Very likely,"Fear of hacking, Too many passwords",Cost savings,2,Weekly,Mobile App Notification,9,Eager to try,Lack of awareness,7,Maybe
36,Prefer not to say,Self-employed,98748.79,UK,3,5,6-10,No,9,9,Credit monitoring,AI-based detection,1519.43,Neutral,Lack of transparency,"Trust & reputation, Convenience",4,Weekly,SMS,10,Unlikely to try,Trust issues,5,Yes
42,Male,Retired,90575.87,Germany,1,3,11-20,No,8,8,"Credit monitoring, Transaction alerts","AI-based detection, Detailed reporting",1614.33,Neutral,"Too many passwords, Fear of hacking, Poor customer support","Peer recommendations, Convenience, Cost savings",2,Monthly,Email,9,Skeptical but open,Cost,4,Maybe
39,Male,Employed full-time,56464.83,Germany,2,4,50+,Yes,9,10,"None, Transaction alerts, Credit monitoring","AI-based detection, Insurance against fraud, Real-time alerts",846.76,Unlikely,"Poor customer support, Too many passwords, Fear of hacking","Innovative features, Peer recommendations, Trust & reputation",6,Monthly,SMS,9,Skeptical but open,Lack of awareness,6,No
37,Female,Self-employed,105776.04,USA,4,1,21-50,No,5,8,"Transaction alerts, Biometric login","Detailed reporting, AI-based detection",1783.88,Neutral,Too many passwords,Peer recommendations,7,Rarely,Email,10,Wait for reviews,Lack of awareness,4,Maybe
27,Female,Self-employed,13440.48,India,1,5,21-50,No,9,6,"Transaction alerts, None, Two-factor authentication",Personalized recommendations,150.37,Very likely,Too many passwords,"Trust & reputation, Cost savings, Innovative features",4,Weekly,Phone Call,7,Wait for reviews,Complexity,7,No
39,Female,Student,26511.43,Australia,3,5,21-50,Yes,8,5,"Credit monitoring, None","Real-time alerts, Personalized recommendations, AI-based detection",331.54,Unlikely,Too many passwords,"Convenience, Cost savings, Innovative features",4,Rarely,SMS,8,Eager to try,Complexity,9,No
53,Male,Employed full-time,23360.88,UK,2,4,21-50,No,8,5,"Credit monitoring, Transaction alerts","Detailed reporting, Insurance against fraud, AI-based detection",133.27,Likely,"Complexity of security, Poor customer support","Cost savings, Innovative features, Trust & reputation",3,Quarterly,Email,8,Wait for reviews,Complexity,7,Yes
48,Male,Employed full-time,55987.72,Germany,3,1,50+,No,9,3,None,"Insurance against fraud, Personalized recommendations, Real-time alerts",515.63,Likely,"Complexity of security, Fear of hacking","Innovative features, Trust & reputation, Peer recommendations",1,Monthly,Phone Call,7,Eager to try,Trust issues,4,Yes
50,Female,Employed full-time,19339.71,USA,1,1,6-10,Yes,7,8,"None, Biometric login",Insurance against fraud,203.46,Very unlikely,"Complexity of security, Fear of hacking","Innovative features, Convenience, Cost savings",2,Quarterly,Mobile App Notification,9,Skeptical but open,Lack of awareness,7,Yes
29,Male,Self-employed,57210.75,Australia,3,4,6-10,No,9,6,"Two-factor authentication, Transaction alerts","Insurance against fraud, Detailed reporting",822.81,Neutral,"Complexity of security, Fear of hacking, Poor customer support","Innovative features, Cost savings",3,Monthly,SMS,6,Skeptical but open,Complexity,7,No
25,Female,Student,82646.0,UAE,2,3,11-20,Not sure,6,10,Credit monitoring,"Insurance against fraud, Detailed reporting",988.71,Unlikely,"Poor customer support, Complexity of security","Trust & reputation, Innovative features, Convenience",1,Quarterly,Email,10,Skeptical but open,Cost,8,Yes
33,Male,Employed full-time,55111.94,Australia,4,4,21-50,No,7,9,"Transaction alerts, Biometric login","Personalized recommendations, Insurance against fraud",778.05,Neutral,"Complexity of security, Fear of hacking, Poor customer support",Trust & reputation,2,Monthly,Phone Call,3,Skeptical but open,Complexity,6,Maybe
35,Female,Employed full-time,43055.73,Singapore,4,3,6-10,Yes,5,6,"Biometric login, Transaction alerts",Real-time alerts,675.97,Unlikely,"Fear of hacking, Poor customer support, Too many passwords","Innovative features, Peer recommendations, Convenience",2,Monthly,Email,5,Eager to try,Trust issues,6,Yes
45,Male,Unemployed,20075.91,UK,3,7,0-5,No,6,8,"Transaction alerts, Biometric login, Credit monitoring","AI-based detection, Insurance against fraud, Personalized recommendations",113.24,Unlikely,"Complexity of security, Too many passwords","Peer recommendations, Innovative features, Convenience",4,Quarterly,Email,6,Skeptical but open,Trust issues,5,No
18,Female,Student,21848.54,Australia,3,5,11-20,No,7,7,"None, Transaction alerts","Personalized recommendations, Insurance against fraud",193.89,Neutral,"Poor customer support, Too many passwords, Lack of transparency","Convenience, Trust & reputation",6,Weekly,Mobile App Notification,10,Unlikely to try,Complexity,8,Maybe
50,Female,Retired,76862.34,USA,3,4,50+,No,9,6,"Credit monitoring, None, Biometric login","AI-based detection, Detailed reporting, Personalized recommendations",581.35,Very unlikely,"Poor customer support, Too many passwords","Convenience, Trust & reputation, Cost savings",2,Monthly,Email,9,Skeptical but open,Cost,8,No
33,Female,Student,57965.85,UK,1,5,21-50,Yes,6,10,"Biometric login, Two-factor authentication, None","Real-time alerts, Insurance against fraud, Detailed reporting",452.82,Likely,Complexity of security,"Peer recommendations, Trust & reputation, Cost savings",2,Rarely,Email,8,Eager to try,Cost,7,Yes
30,Male,Employed full-time,35475.17,UAE,3,7,11-20,No,6,7,"Two-factor authentication, None, Biometric login",Detailed reporting,445.1,Unlikely,"Lack of transparency, Complexity of security",Peer recommendations,6,Rarely,SMS,8,Skeptical but open,Complexity,9,Yes
24,Female,Employed part-time,28261.46,UAE,3,4,6-10,Not sure,8,7,None,"Personalized recommendations, AI-based detection",455.0,Unlikely,"Poor customer support, Lack of transparency, Too many passwords","Peer recommendations, Trust & reputation",1,Rarely,Mobile App Notification,9,Skeptical but open,Complexity,5,Yes
18,Female,Self-employed,10769.95,Australia,2,1,11-20,No,5,5,"Credit monitoring, Biometric login","AI-based detection, Real-time alerts",97.92,Likely,"Fear of hacking, Too many passwords","Trust & reputation, Convenience, Innovative features",3,Quarterly,Phone Call,9,Eager to try,Complexity,10,Yes
43,Female,Employed full-time,19100.86,USA,4,1,6-10,No,5,9,"None, Credit monitoring, Two-factor authentication","Detailed reporting, Personalized recommendations, Real-time alerts",331.72,Likely,"Poor customer support, Lack of transparency","Cost savings, Trust & reputation",3,Weekly,Phone Call,9,Wait for reviews,Lack of awareness,7,No
35,Female,Employed part-time,114330.82,UAE,2,8,6-10,Not sure,9,9,"Two-factor authentication, Credit monitoring, Transaction alerts","Insurance against fraud, Personalized recommendations",2102.18,Very unlikely,Too many passwords,"Convenience, Cost savings",1,Monthly,Email,10,Eager to try,Complexity,9,Yes
22,Female,Self-employed,16843.61,UAE,2,6,50+,No,7,10,Credit monitoring,Personalized recommendations,172.78,Very likely,"Complexity of security, Fear of hacking","Peer recommendations, Cost savings, Convenience",7,Rarely,Email,6,Skeptical but open,Complexity,8,Yes
22,Female,Employed full-time,40687.98,USA,3,3,50+,No,9,5,"Transaction alerts, Credit monitoring","Detailed reporting, Insurance against fraud",619.29,Likely,"Poor customer support, Complexity of security",Convenience,4,Rarely,Email,9,Eager to try,Complexity,5,Maybe
31,Male,Student,66467.37,UK,2,7,6-10,No,6,7,Transaction alerts,"AI-based detection, Personalized recommendations, Detailed reporting",449.04,Likely,"Too many passwords, Poor customer support","Trust & reputation, Innovative features",8,Monthly,SMS,9,Wait for reviews,Trust issues,5,Yes
51,Female,Employed part-time,17103.64,USA,2,7,0-5,Not sure,7,7,"Biometric login, Transaction alerts","Real-time alerts, Personalized recommendations",276.4,Very likely,"Lack of transparency, Complexity of security, Fear of hacking","Peer recommendations, Cost savings",3,Quarterly,Mobile App Notification,10,Unlikely to try,Cost,3,Yes
32,Female,Retired,40571.71,UK,1,3,11-20,No,8,6,"Two-factor authentication, None, Credit monitoring",Personalized recommendations,303.29,Unlikely,Lack of transparency,Cost savings,5,Rarely,SMS,10,Skeptical but open,Lack of awareness,6,Maybe
19,Male,Employed full-time,63751.58,Australia,4,5,11-20,No,7,7,Credit monitoring,Real-time alerts,976.12,Likely,"Too many passwords, Complexity of security","Cost savings, Peer recommendations",6,Quarterly,SMS,9,Wait for reviews,Cost,3,Maybe
32,Male,Employed full-time,36588.88,Singapore,3,3,6-10,No,8,10,"Biometric login, Credit monitoring","Real-time alerts, Detailed reporting, Insurance against fraud",414.5,Likely,Lack of transparency,"Trust & reputation, Cost savings",4,Rarely,Mobile App Notification,7,Skeptical but open,Trust issues,7,No
32,Male,Self-employed,203016.36,UAE,3,2,11-20,No,7,9,"None, Two-factor authentication, Transaction alerts","AI-based detection, Personalized recommendations, Insurance against fraud",3842.46,Unlikely,Complexity of security,Peer recommendations,4,Monthly,Mobile App Notification,6,Skeptical but open,Trust issues,4,Yes
18,Female,Employed full-time,13344.24,Australia,5,6,6-10,No,10,7,"Credit monitoring, Two-factor authentication",Insurance against fraud,159.69,Likely,Lack of transparency,"Innovative features, Trust & reputation, Cost savings",2,Monthly,Email,9,Skeptical but open,Cost,9,Yes
34,Female,Self-employed,68544.41,UK,2,8,21-50,No,8,7,"Two-factor authentication, Credit monitoring",Real-time alerts,374.5,Neutral,"Too many passwords, Lack of transparency","Peer recommendations, Innovative features, Trust & reputation",2,Quarterly,Mobile App Notification,8,Skeptical but open,Lack of awareness,6,No
32,Female,Student,32738.89,Germany,4,1,21-50,No,8,7,Biometric login,"AI-based detection, Personalized recommendations, Detailed reporting",399.74,Unlikely,"Poor customer support, Lack of transparency, Too many passwords",Cost savings,4,Quarterly,Email,9,Skeptical but open,Cost,4,Yes
41,Female,Employed full-time,57708.06,UK,3,3,21-50,No,5,7,"Two-factor authentication, Biometric login",Real-time alerts,977.14,Unlikely,Too many passwords,Trust & reputation,2,Rarely,SMS,6,Eager to try,Complexity,2,Yes
53,Male,Employed part-time,47324.54,Germany,3,1,11-20,No,4,7,"Two-factor authentication, Biometric login","AI-based detection, Detailed reporting",695.97,Unlikely,Poor customer support,"Cost savings, Trust & reputation, Convenience",6,Rarely,Phone Call,8,Wait for reviews,Complexity,9,No
46,Male,Employed part-time,23390.99,USA,2,5,50+,No,8,5,"Credit monitoring, None, Transaction alerts","Insurance against fraud, Detailed reporting",456.0,Very likely,"Complexity of security, Lack of transparency, Poor customer support",Innovative features,4,Weekly,Mobile App Notification,9,Skeptical but open,Lack of awareness,6,No
32,Male,Employed full-time,41664.21,Australia,4,6,50+,No,8,9,"Biometric login, Two-factor authentication, None",Real-time alerts,735.34,Very likely,"Lack of transparency, Fear of hacking","Innovative features, Trust & reputation, Peer recommendations",6,Monthly,Email,10,Skeptical but open,Cost,7,No
23,Male,Unemployed,11911.49,USA,2,3,6-10,Yes,7,9,Credit monitoring,"Insurance against fraud, Personalized recommendations, Real-time alerts",153.64,Likely,"Too many passwords, Poor customer support, Lack of transparency","Innovative features, Trust & reputation, Cost savings",2,Quarterly,Email,7,Skeptical but open,Complexity,7,No
